TheDate,TheDay,TheDaySuffix,TheDayName,TheDayOfWeek,TheDayOfWeekInMonth,TheDayOfYear,IsWeekend,TheWeek,TheISOweek,TheFirstOfWeek,TheLastOfWeek,TheWeekOfMonth,TheMonth,TheMonthName,TheFirstOfMonth,TheLastOfMonth,TheFirstOfNextMonth,TheLastOfNextMonth,TheQuarter,TheFirstOfQuarter,TheLastOfQuarter,TheYear,TheISOYear,TheFirstOfYear,TheLastOfYear,IsLeapYear,Has53Weeks,Has53ISOWeeks,MMYYYY,Style101,Style103,Style112,Style120
2010-01-01,1,st,Friday,6,1,1,0,1,53,2009-12-27,2010-01-02,1,1,January,2010-01-01,2010-01-31,2010-02-01,2010-02-28,1,2010-01-01,2010-03-31,2010,2009,2010-01-01,2010-12-31,0,1,0,012010,01/01/2010,01/01/2010,20100101,2010-01-01
2010-01-02,2,nd,Saturday,7,1,2,1,1,53,2009-12-27,2010-01-02,1,1,January,2010-01-01,2010-01-31,2010-02-01,2010-02-28,1,2010-01-01,2010-03-31,2010,2009,2010-01-01,2010-12-31,0,1,0,012010,01/02/2010,02/01/2010,20100102,2010-01-02
2010-01-03,3,rd,Sunday,1,1,3,1,2,53,2010-01-03,2010-01-09,2,1,January,2010-01-01,2010-01-31,2010-02-01,2010-02-28,1,2010-01-01,2010-03-31,2010,2009,2010-01-01,2010-12-31,0,1,0,012010,01/03/2010,03/01/2010,20100103,2010-01-03
2010-01-04,4,th,Monday,2,1,4,0,2,1,2010-01-03,2010-01-09,2,1,January,2010-01-01,2010-01-31,2010-02-01,2010-02-28,1,2010-01-01,2010-03-31,2010,2010,2010-01-01,2010-12-31,0,1,0,012010,01/04/2010,04/01/2010,20100104,2010-01-04
2010-01-05,5,th,Tuesday,3,1,5,0,2,1,2010-01-03,2010-01-09,2,1,January,2010-01-01,2010-01-31,2010-02-01,2010-02-28,1,2010-01-01,2010-03-31,2010,2010,2010-01-01,2010-12-31,0,1,0,012010,01/05/2010,05/01/2010,20100105,2010-01-05
2010-01-06,6,th,Wednesday,4,1,6,0,2,1,2010-01-03,2010-01-09,2,1,January,2010-01-01,2010-01-31,2010-02-01,2010-02-28,1,2010-01-01,2010-03-31,2010,2010,2010-01-01,2010-12-31,0,1,0,012010,01/06/2010,06/01/2010,20100106,2010-01-06
2010-01-07,7,th,Thursday,5,1,7,0,2,1,2010-01-03,2010-01-09,2,1,January,2010-01-01,2010-01-31,2010-02-01,2010-02-28,1,2010-01-01,2010-03-31,2010,2010,2010-01-01,2010-12-31,0,1,0,012010,01/07/2010,07/01/2010,20100107,2010-01-07
2010-01-08,8,th,Friday,6,2,8,0,2,1,2010-01-03,2010-01-09,2,1,January,2010-01-01,2010-01-31,2010-02-01,2010-02-28,1,2010-01-01,2010-03-31,2010,2010,2010-01-01,2010-12-31,0,1,0,012010,01/08/2010,08/01/2010,20100108,2010-01-08
2010-01-09,9,th,Saturday,7,2,9,1,2,1,2010-01-03,2010-01-09,2,1,January,2010-01-01,2010-01-31,2010-02-01,2010-02-28,1,2010-01-01,2010-03-31,2010,2010,2010-01-01,2010-12-31,0,1,0,012010,01/09/2010,09/01/2010,20100109,2010-01-09
2010-01-10,10,th,Sunday,1,2,10,1,3,1,2010-01-10,2010-01-16,3,1,January,2010-01-01,2010-01-31,2010-02-01,2010-02-28,1,2010-01-01,2010-03-31,2010,2010,2010-01-01,2010-12-31,0,1,0,012010,01/10/2010,10/01/2010,20100110,2010-01-10
